set,target_name,instrument,provenance,filters_grating,observation_mode,exposure_time_s,proposal_id,proposal_pi,release_date,obs_id,obsid,calib_level,wavelength_region
JWST,WISE-J085510.74-071442.5,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),39529.248,2327,"Skemer, Andrew",2024-12-03,jw02327001001_03101_00001-seg006_nrs2,197675853,2,INFRARED
JWST,WISE-J085510.74-071442.5,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),39529.248,2327,"Skemer, Andrew",2024-12-04,jw02327001001_03101_00001-seg005_nrs2,197675858,2,INFRARED
JWST,WISE-J085510.74-071442.5,NIRSPEC/SLIT,CALJWST,F290LP;G395M,NIRSpec BOTS (Bright Object Time Series),39529.248,2327,"Skemer, Andrew",2024-12-04,jw02327001001_03101_00001-seg002_nrs2,197668930,2,INFRARED
JWST,K2-18,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),30148.448,2372,"Hu, Renyu",2025-12-16,jw02372-o004_t001_nirspec_f290lp-g395h-s1600a1-sub2048,233644595,3,INFRARED
JWST,K2-18,NIRSPEC/SLIT,CALJWST,F170LP;G235H,NIRSpec BOTS (Bright Object Time Series),28802.664,2372,"Hu, Renyu",2025-01-18,jw02372-o001_t001_nirspec_f170lp-g235h-s1600a1-sub2048,233647234,3,INFRARED
JWST,K2-18,NIRSPEC/SLIT,CALJWST,F170LP;G235H,NIRSpec BOTS (Bright Object Time Series),28802.664,2372,"Hu, Renyu",2026-01-15,jw02372-o002_t001_nirspec_f170lp-g235h-s1600a1-sub2048,236587044,3,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13751.556,2420,"Rathcke, Alexander",2023-10-30,jw02420-o003_t001_nirspec_clear-prism-s1600a1-sub512s,233637994,3,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),11855.698,2420,"Rathcke, Alexander",2022-07-14,jw02420-o001_t001_nirspec_clear-prism-s1600a1-sub512s,233647675,3,INFRARED
JWST,K2-18,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),30148.448,2372,"Hu, Renyu",2025-05-29,jw02372-o007_t001_nirspec_f290lp-g395h-s1600a1-sub2048,233595537,3,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13751.556,2420,"Rathcke, Alexander",2023-11-09,jw02420-o004_t001_nirspec_clear-prism-s1600a1-sub512s,233637777,3,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13751.556,2420,"Rathcke, Alexander",2023-10-30,jw02420003001_04101_00001-seg001_nrs2,186750435,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13751.556,2420,"Rathcke, Alexander",2023-10-29,jw02420003001_04101_00001-seg002_nrs2,186750414,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),11855.698,2420,"Rathcke, Alexander",2022-07-14,jw02420001001_04101_00001-seg002_nrs2,87616949,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),11855.698,2420,"Rathcke, Alexander",2022-07-14,jw02420001001_04101_00001-seg003_nrs2,87617040,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),11855.698,2420,"Rathcke, Alexander",2022-07-14,jw02420001001_04101_00001-seg001_nrs2,87617130,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13851.848,2420,"Rathcke, Alexander",2024-07-10,jw02420-o005_t001_nirspec_clear-prism-s1600a1-sub512,233637998,3,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13751.556,2420,"Rathcke, Alexander",2023-11-08,jw02420004001_04101_00001-seg002_nrs2,189639744,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13751.556,2420,"Rathcke, Alexander",2023-11-08,jw02420004001_04101_00001-seg001_nrs2,189842162,2,INFRARED
JWST,WASP-127B,NIRSPEC/SLIT,CALJWST,F290LP;G395H,NIRSpec BOTS (Bright Object Time Series),34777.512,2437,"Pelletier, Stefan",2024-05-09,jw02437-o001_t001_nirspec_f290lp-g395h-s1600a1-sub2048,233498619,3,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13851.848,2420,"Rathcke, Alexander",2024-07-10,jw02420005001_04101_00001-seg002_nrs2,218850492,2,INFRARED
JWST,TRAPPIST-1,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),13851.848,2420,"Rathcke, Alexander",2024-07-11,jw02420005001_04101_00001-seg001_nrs2,218850508,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),40800.169,2454,"Gao, Peter",2024-05-31,jw02454-o001_t001_nirspec_clear-prism-s1600a1-sub512,233637739,3,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),40800.169,2454,"Gao, Peter",2024-05-31,jw02454001001_04101_00001-seg003_nrs2,140288106,2,INFRARED
JWST,KEPLER-51,NIRSPEC/SLIT,CALJWST,CLEAR;PRISM,NIRSpec BOTS (Bright Object Time Series),40800.169,2454,"Gao, Peter",2024-06-02,jw02454001001_04101_00001-seg004_nrs2,140303671,2,INFRARED
