set,file_name,product_type,product_subgroup,calib_level,size_bytes,data_uri,parent_obsid
JWST,jw01274005001_04103_00001-seg008_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164111040,mast:JWST/product/jw01274005001_04103_00001-seg008_nrcalong_x1dints.fits,88562634
JWST,jw01274005001_04103_00001-seg006_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164111040,mast:JWST/product/jw01274005001_04103_00001-seg006_nrcalong_x1dints.fits,88562634
JWST,jw01274005001_04103_00001-seg004_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164396160,mast:JWST/product/jw01274005001_04103_00001-seg004_nrcalong_x1dints.fits,88562634
JWST,jw01274005001_04103_00001-seg007_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164111040,mast:JWST/product/jw01274005001_04103_00001-seg007_nrcalong_x1dints.fits,88562634
JWST,jw01274005001_04103_00001-seg003_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164396160,mast:JWST/product/jw01274005001_04103_00001-seg003_nrcalong_x1dints.fits,88562634
JWST,jw01274005001_04103_00001-seg002_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164396160,mast:JWST/product/jw01274005001_04103_00001-seg002_nrcalong_x1dints.fits,88562634
JWST,jw01274005001_04103_00001-seg001_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164396160,mast:JWST/product/jw01274005001_04103_00001-seg001_nrcalong_x1dints.fits,88562634
JWST,jw01274005001_04103_00001-seg005_nrcalong_x1dints.fits,SCIENCE,X1DINTS,2,164396160,mast:JWST/product/jw01274005001_04103_00001-seg005_nrcalong_x1dints.fits,88562634
JWST,jw01274-o005_t003_nircam_f444w-grismr-subgrism64_whtlt.ecsv,SCIENCE,WHTLT,3,250244,mast:JWST/product/jw01274-o005_t003_nircam_f444w-grismr-subgrism64_whtlt.ecsv,88562634
JWST,jw01274-o005_t003_nircam_f444w-grismr-subgrism64_x1dints.fits,SCIENCE,X1DINTS,3,1313910720,mast:JWST/product/jw01274-o005_t003_nircam_f444w-grismr-subgrism64_x1dints.fits,88562634
